,index,Titre,Année,Genres,Synopsis,Note,Votes,Popularité,Durée,youtube_url,poster_url,id,Budget,Recette,Synopsis_fr
0,0,Dorothée Show,1987,Musique | Comédie | Familial,The romanticized life of Dorothée summarized in various sketches and songs.,7.5,2.0,0.1459,90.0,,https://image.tmdb.org/t/p/w500/uMSJTJLHge0vBJ2ZlCmK0ZENYKP.jpg,1048595,0.0,0.0,La vie romancée de Dorothée résumée en divers sketches et chansons.
1,1,Trois couleurs : Blanc,1994,Comédie | Drame | Mystère,"Polish immigrant Karol Karol finds himself out of a marriage, a job and a country when his French wife, Dominique, divorces him after six months due to his impotence. Forced to leave France after losing the business they jointly owned, Karol enlists fellow Polish expatriate Mikołaj to smuggle him back to their homeland.",7.444,1315.0,2.9282,100.0,https://www.youtube.com/watch?v=uBEku1kG1fo,https://image.tmdb.org/t/p/w500/fdIet3NSa27gobMbaUml66oCQNT.jpg,109,0.0,1273525.0,"L'immigrant polonais Karol Karol se retrouve sans mariage, sans emploi et sans pays lorsque sa femme française, Dominique, divorce au bout de six mois en raison de son impuissance. Contraint de quitter la France après avoir perdu l'entreprise qu'ils possédaient conjointement, Karol fait appel à son compatriote expatrié polonais Mikołaj pour le ramener clandestinement dans leur pays d'origine."
2,2,Le Fabuleux Destin d'Amélie Poulain,2001,Comédie | Romance,"At a tiny Parisian café, the adorable yet painfully shy Amélie accidentally discovers a gift for helping others. Soon Amelie is spending her days as a matchmaker, guardian angel, and all-around do-gooder. But when she bumps into a handsome stranger, will she find the courage to become the star of her very own love story?",7.918,12335.0,9.2704,120.0,https://www.youtube.com/watch?v=_cZyjM_R6-E,https://image.tmdb.org/t/p/w500/q4wDxoY3EtZgreA6aK9jh9LxPEM.jpg,194,10000000.0,173921954.0,"Dans un petit café parisien, l'adorable mais douloureusement timide Amélie découvre par hasard un don pour aider les autres. Bientôt, Amélie passe ses journées comme entremetteuse, ange gardien et bienfaitrice. Mais lorsqu'elle croise un bel inconnu, trouvera-t-elle le courage de devenir la star de sa propre histoire d'amour ?"
3,3,La Science des rêves,2006,Comédie | Drame | Fantastique,A man entranced by his dreams and imagination is lovestruck with a French woman and feels he can show her his world.,7.0,828.0,1.8314,105.0,https://www.youtube.com/watch?v=koacpw5a8Ro,https://image.tmdb.org/t/p/w500/ThCUP7DrSyQtpzJ4obUQzapjB5.jpg,300,6000000.0,9524340.0,Un homme fasciné par ses rêves et son imagination est amoureux d'une Française et sent qu'il peut lui montrer son monde.
4,4,Delicatessen,1991,Comédie | Science-Fiction | Fantastique,"In a post-apocalyptic world, the residents of an apartment above the butcher shop receive an occasional delicacy of meat, something that is in low supply. A young man new in town falls in love with the butcher's daughter, which causes conflicts in her family, who need the young man for other business-related purposes.",7.313,1615.0,2.9204,97.0,https://www.youtube.com/watch?v=aWEUHqGX_T0,https://image.tmdb.org/t/p/w500/gNtOgQHxE5B8e08zuNRAdDpmK5Z.jpg,892,4000000.0,1794187.0,"Dans un monde post-apocalyptique, les habitants d'un appartement situé au-dessus de la boucherie reçoivent occasionnellement une friandise à base de viande, un produit rare. Un jeune homme nouvellement arrivé en ville tombe amoureux de la fille du boucher, ce qui provoque des conflits au sein de sa famille, qui a besoin du jeune homme pour d'autres raisons professionnelles."
5,5,L'Auberge espagnole,2002,Drame | Comédie | Romance,"A strait-laced French student moves into an apartment in Barcelona with a cast of six other characters from all over Europe. Together, they speak the international language of love and friendship.",7.123,1216.0,2.077,120.0,,https://image.tmdb.org/t/p/w500/qKq4uLZDAJhBfpRsfPRYouQ5jW5.jpg,1555,5300000.0,3897799.0,"Un étudiant français aux lignes droites emménage dans un appartement à Barcelone avec un groupe de six autres personnages venus de toute l'Europe. Ensemble, ils parlent la langue internationale de l'amour et de l'amitié."
6,7,Toujours possible,2025,Comédie | Romance,"At 55, Gabrielle, a brilliant scientist who has just been laid off, decides to take her life back into her own hands: she wants to have a child! Her mother, Rose—eccentric and kind-hearted—enthusiastically gets involved in helping her find the “perfect sperm.” That’s when Gaby meets Pierre, 58, a charming man in crisis, and Max, 26, his son, who’s searching for a father rather than a pal. Between desire, taboos, and pretenses, each finds themselves confronted with their own contradictions. A tender, sharp, and deeply human comedy. Because, in the end, everything is always possible.",7.0,3.0,13.6139,90.0,https://www.youtube.com/watch?v=LEJU-puemyM,https://image.tmdb.org/t/p/w500/tPctUkfXsSTJIPG5jkpKZtdRrXQ.jpg,1313168,0.0,0.0,"A 55 ans, Gabrielle, une brillante scientifique qui vient d'être licenciée, décide de reprendre sa vie en main : elle veut avoir un enfant ! Sa mère, Rose, excentrique et généreuse, s'implique avec enthousiasme pour l'aider à trouver le « sperme parfait ». C'est alors que Gaby rencontre Pierre, 58 ans, un charmant homme en crise, et Max, 26 ans, son fils, qui cherche un père plutôt qu'un copain. Entre désir, tabous et faux-semblants, chacun se retrouve confronté à ses propres contradictions. Une comédie tendre, tranchante et profondément humaine. Parce qu’en fin de compte, tout est toujours possible."
7,8,Vivement dimanche !,1983,Comédie | Crime | Mystère,"After he's implicated in several murders, a real estate agent goes on the lam while his intrepid secretary does some private investigating of her own to locate the killer.",7.075,214.0,0.9212,115.0,https://www.youtube.com/watch?v=dJnDWOGIIyE,https://image.tmdb.org/t/p/w500/4uPbhZwr98CKSAebgAW1ZNMZy1k.jpg,2455,0.0,0.0,"Après avoir été impliqué dans plusieurs meurtres, un agent immobilier part en cavale tandis que son intrépide secrétaire mène sa propre enquête privée pour localiser le tueur."
8,9,On connaît la chanson,1997,Drame | Comédie | Romance,"Business executive Odile seeks a new, larger apartment. Her younger sister Camille, having completed her doctoral thesis in history, is a Paris tour guide. Simon is a regular on Camille's tours as he's attracted to her. However, Camille has fallen for Marc, and they begin an affair. Nicolas is also looking for an apartment, since he hopes to eventually have his family join him in Paris.",7.01,155.0,1.1547,120.0,,https://image.tmdb.org/t/p/w500/z6Ut76sb5MWj5I90wEJxnvo5d2T.jpg,2817,0.0,0.0,"Odile, chef d'entreprise, cherche un nouvel appartement plus grand. Sa sœur cadette Camille, ayant terminé sa thèse de doctorat en histoire, est guide touristique parisienne. Simon est un habitué des tournées de Camille car il est attiré par elle. Cependant, Camille est tombée amoureuse de Marc et ils entament une liaison. Nicolas est également à la recherche d'un appartement, puisqu'il espère éventuellement que sa famille le rejoigne à Paris."
9,10,Astérix & Obélix : Mission Cléopâtre,2002,Familial | Fantastique | Comédie | Aventure,History's favorite Gauls assist Queen Cleopatra when she wagers that the Egyptian people can build a palace for Julius Caesar in just three months.,7.371,3758.0,5.4422,107.0,https://www.youtube.com/watch?v=iT1n9Z4hVuk,https://image.tmdb.org/t/p/w500/2lC9lzozlzVxCsSgPjRz5AWcz00.jpg,2899,58500000.0,131116046.0,Les Gaulois préférés de l'Histoire assistent la reine Cléopâtre lorsqu'elle parie que le peuple égyptien pourra construire un palais pour Jules César en seulement trois mois.
